laboratorio,versao,family_name,family_design,family_clinical_category,offer_id,raw_label,canonical_label,offer_clinical_category,material,indice_refracao,is_atomic_offer,already_includes_treatment,allows_composition,base_price,source_page_reference,treatment_name,treatment_type,price_mode,special_price,final_price,sph_min,sph_max,cyl_min,cyl_max,add_min,add_max,section_name,subsection_name
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop Visão Simples - Blocos,Mista,mista,a057967f-b8e6-4f9f-b1f3-3c96fe24836b,1.56 UV Led Protection,iTop Visão Simples - Blocos 1.56 UV Led Protection,visao_simples,Resina,1.56,false,false,true,1813.00,Pagina 40,Trio Easy Clean,Antirreflexo,final,1895.00,1895.00,-8.00,7.00,0.00,0.00,0.50,5.00,null,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop Visão Simples - Blocos,Mista,mista,a057967f-b8e6-4f9f-b1f3-3c96fe24836b,1.56 UV Led Protection,iTop Visão Simples - Blocos 1.56 UV Led Protection,visao_simples,Resina,1.56,false,false,true,1813.00,Pagina 40,Verniz Hc,Revestimento,final,1813.00,1813.00,-8.00,7.00,0.00,0.00,0.50,5.00,null,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop Visão Simples - Blocos,Mista,mista,a057967f-b8e6-4f9f-b1f3-3c96fe24836b,1.56 UV Led Protection,iTop Visão Simples - Blocos 1.56 UV Led Protection,visao_simples,Resina,1.56,false,false,true,1813.00,Pagina 40,Vert Clair,Antirreflexo,final,2115.00,2115.00,-8.00,7.00,0.00,0.00,0.50,5.00,null,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop Visão Simples - Blocos,Mista,mista,5fba6e3c-7db5-4e5b-92c2-85f6106d19b9,1.59,iTop Visão Simples - Blocos 1.59,visao_simples,Resina,1.59,false,false,true,1140.00,Pagina 40,Trio Easy Clean,Antirreflexo,final,1223.00,1223.00,-10.00,8.00,0.00,0.00,0.50,5.00,null,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop Visão Simples - Blocos,Mista,mista,5fba6e3c-7db5-4e5b-92c2-85f6106d19b9,1.59,iTop Visão Simples - Blocos 1.59,visao_simples,Resina,1.59,false,false,true,1140.00,Pagina 40,Verniz Hc,Revestimento,final,1140.00,1140.00,-10.00,8.00,0.00,0.00,0.50,5.00,null,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop Visão Simples - Blocos,Mista,mista,5fba6e3c-7db5-4e5b-92c2-85f6106d19b9,1.59,iTop Visão Simples - Blocos 1.59,visao_simples,Resina,1.59,false,false,true,1140.00,Pagina 40,Vert Clair,Antirreflexo,final,1443.00,1443.00,-10.00,8.00,0.00,0.00,0.50,5.00,null,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop Visão Simples - Blocos,Mista,mista,709d412b-a247-4d2c-a2d4-813f7ad0cb3b,1.59 + Transitions Gen S,iTop Visão Simples - Blocos 1.59 + Transitions Gen S,visao_simples,Resina,1.59,false,false,true,2958.00,Pagina 40,Trio Easy Clean,Antirreflexo,final,3041.00,3041.00,-10.00,8.00,0.00,0.00,0.50,5.00,null,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop Visão Simples - Blocos,Mista,mista,709d412b-a247-4d2c-a2d4-813f7ad0cb3b,1.59 + Transitions Gen S,iTop Visão Simples - Blocos 1.59 + Transitions Gen S,visao_simples,Resina,1.59,false,false,true,2958.00,Pagina 40,Verniz Hc,Revestimento,final,2958.00,2958.00,-10.00,8.00,0.00,0.00,0.50,5.00,null,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop Visão Simples - Blocos,Mista,mista,709d412b-a247-4d2c-a2d4-813f7ad0cb3b,1.59 + Transitions Gen S,iTop Visão Simples - Blocos 1.59 + Transitions Gen S,visao_simples,Resina,1.59,false,false,true,2958.00,Pagina 40,Vert Clair,Antirreflexo,final,3261.00,3261.00,-10.00,8.00,0.00,0.00,0.50,5.00,null,null
Optilab,Optilab 06 de abril a 31 de julho de 2026,iTop Visão Simples - Blocos,Mista,mista,9e5486a7-c66e-447b-8f1d-32cf1dc9251d,1.67,iTop Visão Simples - Blocos 1.67,visao_simples,Resina,1.67,false,false,true,3548.00,Pagina 40,Trio Easy Clean,Antirreflexo,final,3548.00,3548.00,-12.00,9.00,0.00,0.00,0.50,5.00,null,null
