family_name,raw_label,canonical_label,material,indice_refracao,base_price,compatible_treatments,source_page_reference,confidence_level
VARILUX® COMFORT,Airwear + Coloração especial,VARILUX® COMFORT COLORAÇÃO Airwear + Coloração especial,Policarbonato,,2089.0,Verniz Hc=2089.0,Pagina 18,0.86
VARILUX® COMFORT,Airwear + Coloração padrão,VARILUX® COMFORT COLORAÇÃO Airwear + Coloração padrão,Policarbonato,,1979.0,Verniz Hc=1979.0,Pagina 18,0.86
VARILUX® COMFORT,Orma + Coloração especial,VARILUX® COMFORT COLORAÇÃO Orma + Coloração especial,Resina,,1789.0,Verniz Hc=1789.0,Pagina 18,0.86
VARILUX® COMFORT,Orma + Coloração padrão,VARILUX® COMFORT COLORAÇÃO Orma + Coloração padrão,Resina,,1679.0,Verniz Hc=1679.0,Pagina 18,0.86
VARILUX® COMFORT,Airwear + Coloração especial,VARILUX® COMFORT SOLARES / COLORAÇÃO Airwear + Coloração especial,Policarbonato,,2089.0,Verniz Hc=2089.0,Pagina 18,0.86
VARILUX® COMFORT,Airwear + Coloração padrão,VARILUX® COMFORT SOLARES / COLORAÇÃO Airwear + Coloração padrão,Policarbonato,,1979.0,Verniz Hc=1979.0,Pagina 18,0.86
VARILUX® COMFORT,Airwear + Xperio cinza/marrom,VARILUX® COMFORT SOLARES / COLORAÇÃO Airwear + Xperio cinza/marrom,Policarbonato,,2489.0,"Crizal Sapphire HR=3149.0, Optifog=3129.0, Verniz Hc=2489.0",Pagina 18,0.86
VARILUX® COMFORT,Orma + Coloração especial,VARILUX® COMFORT SOLARES / COLORAÇÃO Orma + Coloração especial,Resina,,1789.0,Verniz Hc=1789.0,Pagina 18,0.86
VARILUX® COMFORT,Orma + Coloração padrão,VARILUX® COMFORT SOLARES / COLORAÇÃO Orma + Coloração padrão,Resina,,1679.0,Verniz Hc=1679.0,Pagina 18,0.86
VARILUX® COMFORT,Orma + Xperio cinza/marrom,VARILUX® COMFORT SOLARES / COLORAÇÃO Orma + Xperio cinza/marrom,Resina,,2189.0,"Crizal Sapphire HR=2849.0, Optifog=2829.0, Verniz Hc=2189.0",Pagina 18,0.86
VARILUX® COMFORT,Airwear,VARILUX® COMFORT TRADICIONAL Airwear,Policarbonato,,1799.0,"Crizal Prevencia=2819.0, Crizal Sapphire HR=2819.0, Crizal Rock=2549.0, Crizal Easy Pro=2199.0, Optifog=2439.0, Trio Easy Clean=1999.0",Pagina 18,0.86
VARILUX® COMFORT,Airwear + Transitions Gen S,VARILUX® COMFORT TRADICIONAL Airwear + Transitions Gen S,Policarbonato,,2899.0,"Crizal Prevencia=3919.0, Crizal Sapphire HR=3919.0, Crizal Rock=3649.0, Crizal Easy Pro=3299.0, Optifog=3539.0, Trio Easy Clean=3099.0",Pagina 18,0.86
VARILUX® COMFORT,Orma,VARILUX® COMFORT TRADICIONAL Orma,Resina,,1499.0,"Crizal Prevencia=2519.0, Crizal Sapphire HR=2519.0, Crizal Rock=2249.0, Crizal Easy Pro=1899.0, Optifog=2139.0, Trio Easy Clean=1699.0",Pagina 18,0.86
VARILUX® COMFORT,Orma + Transitions Gen S,VARILUX® COMFORT TRADICIONAL Orma + Transitions Gen S,Resina,,2599.0,"Crizal Prevencia=3619.0, Crizal Sapphire HR=3619.0, Crizal Rock=3349.0, Crizal Easy Pro=2999.0, Optifog=3239.0, Trio Easy Clean=2799.0",Pagina 18,0.86
VARILUX® LIBERTY,Airwear,VARILUX® LIBERTY DIGITAL Airwear,Policarbonato,,1299.0,"Crizal Prevencia=2319.0, Crizal Sapphire HR=2319.0, Crizal Rock=2049.0, Crizal Easy Pro=1699.0, Optifog=1939.0, Trio Easy Clean=1499.0",Pagina 19,0.78
VARILUX® LIBERTY,Airwear + Transitions Extractive,VARILUX® LIBERTY DIGITAL Airwear + Transitions Extractive,Policarbonato,,2429.0,"Crizal Prevencia=3449.0, Crizal Sapphire HR=3449.0, Crizal Rock=3179.0, Crizal Easy Pro=2829.0, Optifog=3069.0, Trio Easy Clean=2629.0",Pagina 19,0.78
VARILUX® LIBERTY,Airwear + Transitions Gen S,VARILUX® LIBERTY DIGITAL Airwear + Transitions Gen S,Policarbonato,,2399.0,"Crizal Prevencia=3419.0, Crizal Sapphire HR=3419.0, Crizal Rock=3149.0, Crizal Easy Pro=2799.0, Optifog=3039.0, Trio Easy Clean=2599.0",Pagina 19,0.78
VARILUX® LIBERTY,Orma,VARILUX® LIBERTY DIGITAL Orma,Resina,,999.0,"Crizal Prevencia=2019.0, Crizal Sapphire HR=2019.0, Crizal Rock=1749.0, Crizal Easy Pro=1399.0, Optifog=1639.0, Trio Easy Clean=1199.0",Pagina 19,0.78
VARILUX® LIBERTY,Orma + Blue UV Filter,VARILUX® LIBERTY DIGITAL Orma + Blue UV Filter,Resina,,1169.0,"Crizal Prevencia=2189.0, Crizal Sapphire HR=2189.0, Crizal Rock=1919.0, Crizal Easy Pro=1569.0, Optifog=1809.0, Trio Easy Clean=1369.0",Pagina 19,0.78
VARILUX® LIBERTY,Orma + Transitions Extractive,VARILUX® LIBERTY DIGITAL Orma + Transitions Extractive,Resina,,2129.0,"Crizal Prevencia=3149.0, Crizal Sapphire HR=3149.0, Crizal Rock=2879.0, Crizal Easy Pro=2529.0, Optifog=2769.0, Trio Easy Clean=2329.0",Pagina 19,0.78
VARILUX® LIBERTY,Orma + Transitions Gen S,VARILUX® LIBERTY DIGITAL Orma + Transitions Gen S,Resina,,2099.0,"Crizal Prevencia=3119.0, Crizal Sapphire HR=3119.0, Crizal Rock=2849.0, Crizal Easy Pro=2499.0, Optifog=2739.0, Trio Easy Clean=2299.0",Pagina 19,0.78
VARILUX® LIBERTY,Airwear + Coloração especial,VARILUX® LIBERTY SOLARES / COLORAÇÃO Airwear + Coloração especial,Policarbonato,,1589.0,Verniz Hc=1589.0,Pagina 19,0.86
VARILUX® LIBERTY,Airwear + Coloração padrão,VARILUX® LIBERTY SOLARES / COLORAÇÃO Airwear + Coloração padrão,Policarbonato,,1479.0,Verniz Hc=1479.0,Pagina 19,0.86
VARILUX® LIBERTY,Airwear + Xperio cinza/marrom,VARILUX® LIBERTY SOLARES / COLORAÇÃO Airwear + Xperio cinza/marrom,Policarbonato,,1989.0,"Crizal Sapphire HR=2649.0, Optifog=2629.0, Verniz Hc=1989.0",Pagina 19,0.86
