ID_Item;ID_Venda_CSV;ID_Produto_CSV;Qtd;Valor;DIAGNOSTICO
2177;1430;1542;1;260,00;Venda Pai Nao Existe no Banco
2178;1430;3512;1;220,00;Venda Pai Nao Existe no Banco
2179;1429;7045;1;250,00;Venda Pai Nao Existe no Banco
2180;1429;1533;1;90,00;Venda Pai Nao Existe no Banco
2181;1429;7233;1;250,00;Venda Pai Nao Existe no Banco
2182;1431;1542;1;260,00;Venda Pai Nao Existe no Banco
2183;1431;3254;1;180,00;Venda Pai Nao Existe no Banco
2184;1432;1721;0,5;230,00;Venda Pai Nao Existe no Banco
2185;1433;1533;1;90,00;Venda Pai Nao Existe no Banco
2186;1433;7265;1;380,00;Venda Pai Nao Existe no Banco
2187;1435;2403;1;198,00;Venda Pai Nao Existe no Banco
2188;1436;1542;1;260,00;Venda Pai Nao Existe no Banco
2189;1437;1552;1;180,00;Venda Pai Nao Existe no Banco
2190;1438;1533;1;90,00;Venda Pai Nao Existe no Banco
2191;1438;5600;1;180,00;Venda Pai Nao Existe no Banco
2192;1439;1560;1;290,00;Venda Pai Nao Existe no Banco
2193;1439;7490;1;346,00;Venda Pai Nao Existe no Banco
2194;1440;1540;1;60,00;Venda Pai Nao Existe no Banco
2195;1441;1534;1;130,00;Venda Pai Nao Existe no Banco
2196;1442;1542;1;260,00;Venda Pai Nao Existe no Banco
2197;1442;6025;1;280,00;Venda Pai Nao Existe no Banco
2198;1443;1534;1;160,00;Venda Pai Nao Existe no Banco
2199;1444;1534;1;160,00;Venda Pai Nao Existe no Banco
2200;1444;5928;1;420,00;Venda Pai Nao Existe no Banco
2201;1445;6863;1;250,00;Venda Pai Nao Existe no Banco
2202;1446;1760;1;480,00;Venda Pai Nao Existe no Banco
2203;1446;6355;1;390,00;Venda Pai Nao Existe no Banco
2204;1447;2403;1;65,00;Venda Pai Nao Existe no Banco
2205;1449;1542;1;210,00;Venda Pai Nao Existe no Banco
2206;1449;6953;1;190,00;Venda Pai Nao Existe no Banco
2207;1451;1534;1;160,00;Venda Pai Nao Existe no Banco
2208;1451;7537;1;220,00;Venda Pai Nao Existe no Banco
2209;1452;1533;1;90,00;Venda Pai Nao Existe no Banco
2210;1453;1562;1;300,00;Venda Pai Nao Existe no Banco
2211;1453;6668;1;350,00;Venda Pai Nao Existe no Banco
2212;1454;1534;1;160,00;Venda Pai Nao Existe no Banco
