Código;Lk_venda;Lk_produto;Qtd;Valor vendido;Custo;Valor normal
13807;9201;8743;1;450,00;0,00;
13808;9232;1534;1;160,00;0,00;
13809;9233;1534;1;0,00;0,00;
13810;9233;7821;1;265,00;0,00;
13811;9234;1542;1;350,00;0,00;
13812;9234;7821;1;270,00;0,00;
13813;9235;7953;1;250,00;0,00;
13814;9236;8884;1;750,00;0,00;
13816;9237;1542;1;350,00;0,00;
13817;9238;8868;1;1.780,00;0,00;
13819;9238;8891;1;990,00;0,00;
13820;9239;1534;1;160,00;0,00;
13822;9236;7953;1;250,00;0,00;
13823;9240;8678;1;1.800,00;0,00;
13824;9240;8552;1;190,00;0,00;
13826;9241;8892;1;890,00;0,00;
13827;9242;7953;1;200,00;0,00;
13828;9243;1542;1;300,00;0,00;
13829;9244;1542;1;260,00;0,00;
13831;9243;8893;1;400,00;0,00;
13832;9245;1528;3;330,00;0,00;
13833;9246;2287;1;60,00;0,00;
13834;9247;8587;1;690,00;0,00;
13835;9248;1326;1;90,00;0,00;
13836;9249;1760;1;550,00;0,00;
13839;9250;3259;1;1.200,00;0,00;
13840;9251;4497;1;100,00;0,00;
13841;9252;8605;1;390,00;0,00;
13842;9253;1534;1;160,00;0,00;
13843;9253;8584;1;690,00;0,00;
13844;9254;1542;1;350,00;0,00;
13845;9254;7821;1;280,00;0,00;
13846;9255;8668;1;25,00;0,00;
13848;9256;6604;1;420,00;0,00;
13849;9256;1534;1;160,00;0,00;
13850;9257;7953;1;250,00;0,00;
13851;9257;8552;1;100,00;0,00;
13852;9258;7628;1;200,00;0,00;
13853;9259;1534;1;250,00;0,00;
13854;9259;7628;1;200,00;0,00;
13855;9260;7953;1;250,00;0,00;
13856;9261;7953;1;280,00;0,00;
13857;9261;8552;1;100,00;0,00;
13859;9262;1542;1;290,00;0,00;
13860;9263;1552;1;350,00;0,00;
13861;9264;1542;0,5;150,00;0,00;
13862;9265;1534;1;160,00;0,00;
13863;9266;8552;1;100,00;0,00;
13864;9267;1542;1;290,00;0,00;
13865;9268;1542;1;315,00;0,00;
13866;9268;7821;1;225,00;0,00;
13867;9269;1542;1;250,00;0,00;
13868;9270;1542;1;350,00;0,00;
13869;9270;1542;1;350,00;0,00;
13870;9270;5521;1;390,00;0,00;
13871;9270;7821;1;290,00;0,00;
13872;9272;7810;1;150,00;0,00;
13873;9273;8552;1;140,00;0,00;
13874;9274;8355;1;390,00;0,00;
13875;9250;7821;1;320,00;0,00;
13876;9275;1534;1;144,00;0,00;
13877;9275;8885;1;675,00;0,00;
13878;9276;8308;1;25,00;0,00;
13879;9277;7899;1;390,00;0,00;
13880;9277;1542;1;350,00;0,00;
13881;9278;8707;1;1.050,00;0,00;
13882;9279;1760;1;650,00;0,00;
13883;9279;8355;1;350,00;0,00;
