Código;Lk_Vendas;Data_Venc;Valor_Parcela;Data_Pgto;Valor_Pago;Número_parcela1;Número_parcela2;cartão;che pré;dinheiro;Requisição;multa;juros;comissão;recibo
22971;6883;25/03/2022;94,00;;0,00;5;5;0,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
22972;6892;15/12/2021;50,00;05/02/2022;50,00;1;3;0,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
22973;6892;15/01/2022;110,00;23/03/2022;110,00;2;3;0,00;0,00;110,00;0,00;0,00;0,00;0,00;FALSO
22974;6892;15/02/2022;0,00;;0,00;3;3;0,00;0,00;0,00;0,00;0,00;0,00;0,00;FALSO
22975;6862;10/12/2021;38,00;20/01/2022;38,00;1;7;0,00;0,00;38,00;0,00;0,00;0,00;0,00;FALSO
22976;6862;10/01/2022;37,00;20/01/2022;37,00;2;7;0,00;0,00;37,00;0,00;0,00;0,00;0,00;FALSO
22977;6862;10/02/2022;37,00;10/05/2022;37,00;3;7;0,00;0,00;37,00;0,00;0,00;0,00;0,00;FALSO
22978;6862;10/03/2022;37,00;21/06/2022;37,00;4;7;0,00;0,00;37,00;0,00;0,00;0,00;0,00;FALSO
22979;6862;10/04/2022;37,00;02/08/2022;37,00;5;7;0,00;0,00;37,00;0,00;0,00;0,00;0,00;FALSO
22980;6862;10/05/2022;37,00;01/11/2022;37,00;6;7;0,00;0,00;37,00;0,00;0,00;0,00;0,00;FALSO
22981;6862;10/06/2022;37,00;01/11/2022;37,00;7;7;0,00;0,00;37,00;0,00;0,00;0,00;0,00;FALSO
22982;6901;08/12/2021;108,00;10/12/2021;108,00;1;5;0,00;0,00;108,00;0,00;0,00;0,00;0,00;FALSO
22983;6901;08/01/2022;108,00;17/01/2022;108,00;2;5;0,00;0,00;108,00;0,00;0,00;0,00;0,00;FALSO
22984;6901;08/02/2022;108,00;19/02/2022;108,00;3;5;0,00;0,00;108,00;0,00;0,00;0,00;0,00;FALSO
22985;6901;08/03/2022;108,00;15/03/2022;108,00;4;5;0,00;0,00;108,00;0,00;0,00;0,00;0,00;FALSO
